split,stem,sequence_bucket,objects,read_ok,ecc_ok,rgb_height,rgb_width,ir_height,ir_width,phase_dx_px,phase_dy_px,phase_response,ecc_dx_px,ecc_dy_px,ecc_shift_px,ecc_correlation,affine_ok,affine_correlation,affine_center_shift_px,affine_max_corner_shift_px,affine_scale_x,affine_scale_y,affine_rotation_deg
train,00001,train:00k,9,True,True,512,640,512,640,0.19443292463762418,0.03381070120735785,0.31383662689477204,-0.5398785471916199,-0.4207984209060669,0.6844999318880708,0.6636281782234578,True,0.7071785083737822,0.8607069668829648,2.2005262248836037,1.001491352784142,1.0029360098769387,0.14891165341508347
train,00091,train:00k,25,True,True,512,640,512,640,-1.0072829183650924,-1.4517930185527348,0.10046505206264555,-1.7214213609695435,-0.19963358342647552,1.7329584731417922,0.2666029218781396,,,,,,,
train,00181,train:00k,10,True,True,512,640,512,640,0.3885087151107314,1.0377018043662076,0.13250807877629994,0.8702566623687744,1.2133426666259766,1.4931667974651306,0.22054082987905593,,,,,,,
train,00272,train:00k,13,True,True,512,640,512,640,0.4912541279383049,0.098512729366945,0.30207785237580537,-0.5289702415466309,0.13565556704998016,0.5460878586029474,0.7218599816859509,,,,,,,
train,00362,train:00k,8,True,True,512,640,512,640,3.5291193479793606,0.07822956605912168,0.3154894519597292,4.228225231170654,-0.3701361119747162,4.244395050757634,0.7834449955989089,,,,,,,
train,00452,train:00k,17,True,True,512,640,512,640,-0.2244068455257775,-0.5027894216273125,0.45248612863942983,0.2849423885345459,-0.3208395540714264,0.4291039317467551,0.800372787460996,,,,,,,
train,00543,train:00k,39,True,True,512,640,512,640,1.1328539007802192,-0.3146463197979301,0.24645652128383516,-1.5000782012939453,0.08920226991176605,1.5027280708613553,0.6199627315165703,,,,,,,
train,00633,train:00k,4,True,True,512,640,512,640,-0.8822601246335466,15.402970107931594,-0.05265759532339871,0.6866530776023865,0.9038329720497131,1.1350799488780718,0.6994395906103236,,,,,,,
train,00724,train:00k,16,True,True,512,640,512,640,1.1603318988113642,-0.4016616134215951,0.2371014229953289,0.6635071039199829,-1.1193495988845825,1.3012245007973677,0.759837900284092,,,,,,,
train,00814,train:00k,11,True,True,512,640,512,640,6.367005262255702,-1.2917756121833577,0.31601469283923506,4.335871696472168,-2.2727792263031006,4.895437547327446,0.6577572936537532,,,,,,,
